Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.LookAndFeel.UserLookAndFeel.get_UseDefaultLookAndFeel",2,2,0.02,0.02,
"DevExpress.LookAndFeel.UserLookAndFeel.GetMaskColor",19,2,0.18,0.02,
"DevExpress.Map.CoordPoint.GetY",2,2,0.02,0.02,
"DevExpress.Skins.Skin.get_BaseColor",5,2,0.05,0.02,
"DevExpress.Skins.Skin.get_Colors",2,2,0.02,0.02,
"DevExpress.Skins.Skin.get_MaskColor",3,2,0.03,0.02,
"DevExpress.Skins.SkinContainerCollection.get_Item",9,2,0.08,0.02,
"DevExpress.Skins.SkinElementInfo.set_ImageIndex",2,2,0.02,0.02,
"DevExpress.Skins.SkinElementPainter.CalcBoundsByClientRectangle",11,2,0.10,0.02,
"DevExpress.Skins.SkinElementPainter.DrawImage",176,2,1.63,0.02,
"DevExpress.Skins.SkinElementPainter.DrawImageStretch",180,2,1.67,0.02,
"DevExpress.Skins.SkinImage.GetImageBounds",35,2,0.32,0.02,
"DevExpress.Skins.SkinProperties.ContainsProperty",4,2,0.04,0.02,
"DevExpress.Utils.Algorithms.BinarySearch",3,2,0.03,0.02,
"DevExpress.Utils.AppearanceHelper.GetAppearanceByOption",6,2,0.06,0.02,
"DevExpress.Utils.AppearanceObject.Assign",9,2,0.08,0.02,
"DevExpress.Utils.AppearanceObject.get_Image",2,2,0.02,0.02,
"DevExpress.Utils.AppearanceObject.get_InnerDefaultFont",2,2,0.02,0.02,
"DevExpress.Utils.AppearanceObject.GetOptionState",4,2,0.04,0.02,
"DevExpress.Utils.AppearanceObject.Reset",4,2,0.04,0.02,
"DevExpress.Utils.CollectionChangedEventArgs`1[System.__Canon].get_Action",2,2,0.02,0.02,
"DevExpress.Utils.Drawing.DXPaintEventArgs.get_Graphics",2,2,0.02,0.02,
"DevExpress.Utils.Drawing.GraphicsCache..ctor",2,2,0.02,0.02,
"DevExpress.Utils.Drawing.GraphicsCache.get_Graphics",6,2,0.06,0.02,
"DevExpress.Utils.Drawing.GraphicsCache.get_PaintArgs",2,2,0.02,0.02,
