Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.XtraRichEdit.RichEditControl.CustomRefresh",28,0,0.26,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DeactivateViewPlatformSpecific",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DestroyCaretTimer",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.Utils.IToolTipControlClient.get_ShowToolTips",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.Utils.IToolTipControlClient.GetObjectInfo",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.ActivateViewPlatformSpecific",13,0,0.12,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.CalculateActualViewBounds",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.CreateHorizontalRuler",57,0,0.53,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.CreateMouseHandler",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.CreateVerticalRuler",10,0,0.09,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.CreateVerticalScrollBar",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.CreateViewRepository",64,0,0.59,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.DeactivateViewPlatformSpecific",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.OnOptionsChangedPlatformSpecific",10,0,0.09,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.OnResize",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.RedrawEnsureSecondaryFormattingComplete",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.ShouldApplyForeColor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditControlOwner.UpdateRulers",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditDocumentServerOwner.CreateMeasurementAndDrawingStrategy",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditDocumentServerOwner.CreateOptions",8,0,0.07,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.Internal.IInnerRichEditDocumentServerOwner.RaiseDeferredEvents",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.IRichEditControl.CreateRichEditMouseHandlerStrategyFactory",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.IRichEditControl.CreateRichEditViewVerticalScrollController",5,0,0.05,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.IRichEditControl.get_SkinLeftMargin",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DevExpress.XtraRichEdit.IRichEditControl.ShowCaret",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.Dispose",15,0,0.14,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DisposeCommon",12,0,0.11,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DisposeCore",14,0,0.13,0.00,
"DevExpress.XtraRichEdit.RichEditControl.DisposeViewPainter",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.EndInitialize",227,0,2.10,0.00,
"DevExpress.XtraRichEdit.RichEditControl.EndInitializeCommon",218,0,2.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.EndUpdate",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.ForceHandleLookAndFeelChanged",5,0,0.05,0.00,
"DevExpress.XtraRichEdit.RichEditControl.get_Document",37,0,0.34,0.00,
"DevExpress.XtraRichEdit.RichEditControl.GetCommentsSkinPadding",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.GetPixelPhysicalBounds",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.GetService",7,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditControl.GetSkinTextColors",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.HideCaretCore",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.RichEditControl.HideSystemCaret",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.InitializeCaretTimer",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.RichEditControl.InitializeVerticalScrollBarUpdateTimer",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.IsBoundUpdatingProperty",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.LoadDocument",226,0,2.09,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnApplicationIdle",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnBindingContextChanged",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnCaretTimerTick",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnDeferredResizeCore",9,0,0.08,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnGotFocus",15,0,0.14,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnHandleCreated",7,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnLostFocus",9,0,0.08,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnMouseMove",145,0,1.34,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnOptionsChangedPlatformSpecific",9,0,0.08,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnPaintBackground",12,0,0.11,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnResize",20,0,0.19,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnResizeCore",32,0,0.30,0.00,
"DevExpress.XtraRichEdit.RichEditControl.OnVerticalScrollBarUpdateTimerTick",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.PerformResize",27,0,0.25,0.00,
"DevExpress.XtraRichEdit.RichEditControl.RaiseDeferredEvents",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.RedrawEnsureSecondaryFormattingComplete",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.RichEditControl.ReplaceDataController",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.ResizeView",17,0,0.16,0.00,
"DevExpress.XtraRichEdit.RichEditControl.set_ActiveViewType",12,0,0.11,0.00,
"DevExpress.XtraRichEdit.RichEditControl.set_LayoutUnit",45,0,0.42,0.00,
"DevExpress.XtraRichEdit.RichEditControl.SetBoundsCore",21,0,0.19,0.00,
"DevExpress.XtraRichEdit.RichEditControl.SetMailMergeDataControllerBindingContext",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.ShowCaret",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.ShowCaretCore",13,0,0.12,0.00,
"DevExpress.XtraRichEdit.RichEditControl.ShowSystemCaret",8,0,0.07,0.00,
"DevExpress.XtraRichEdit.RichEditControl.StartCaretBlinking",15,0,0.14,0.00,
"DevExpress.XtraRichEdit.RichEditControl.StopCaretBlinking",6,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditControl.StopPendingInput",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.SubscribeInnerControlEvents",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.UnsubscribeInnerControlEvents",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControl.UpdateRulers",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.UpdateRulersCore",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.UpdateScrollbarsVisibility",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.UpdateVerticalScrollBar",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControl.WndProc",352,0,3.26,0.00,
"DevExpress.XtraRichEdit.RichEditControl+<>c__DisplayClass4.<RaiseDeferredEvents>b__2",7,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptions..ctor",7,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptions.ResetCore",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptions.SubscribeInnerOptionsEvents",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptions.UnsubscribeInnerOptionsEvents",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase..ctor",6,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase.Dispose",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase.get_DocumentSaveOptions",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase.get_Printing",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase.OnInnerOptionsChanged",11,0,0.10,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase.ResetCore",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditControlOptionsBase.SubscribeInnerOptionsEvents",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditLayoutOptions..ctor",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditLayoutOptions.CreateInnerOptions",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditMailMergeOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditMailMergeOptions.ResetCore",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditNotificationOptions..ctor",29,0,0.27,0.00,
"DevExpress.XtraRichEdit.RichEditNotificationOptions.OnChanged",11,0,0.10,0.00,
"DevExpress.XtraRichEdit.RichEditNotificationOptions.Reset",27,0,0.25,0.00,
"DevExpress.XtraRichEdit.RichEditView..ctor",58,0,0.54,0.00,
"DevExpress.XtraRichEdit.RichEditView.Activate",9,0,0.08,0.00,
"DevExpress.XtraRichEdit.RichEditView.BeginDocumentRendering",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.RichEditView.BeginDocumentRendering",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.RichEditView.CalculateFloatingObjectHitTest",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditView.CalculateNearestCharacterHitTest",84,0,0.78,0.00,
"DevExpress.XtraRichEdit.RichEditView.CalculateResetFromPosition",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.CreateDocumentLayout",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.CreateLogicalPoint",10,0,0.09,0.00,
"DevExpress.XtraRichEdit.RichEditView.CreateLogicalRectangle",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.CreatePhysicalRectangle",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.Deactivate",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.EnsurePositionVisibleWhenHiddenTextNotShown",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.GeneratePages",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.RichEditView.GetCursorBounds",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.RichEditView.GetCursorBoundsCore",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.RichEditView.GetPageViewInfoRowFromPoint",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditView.GetPhysicalBounds",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.HitTest",62,0,0.57,0.00,
"DevExpress.XtraRichEdit.RichEditView.HitTestCore",83,0,0.77,0.00,
"DevExpress.XtraRichEdit.RichEditView.NotifyDocumentChanged",5,0,0.05,0.00,
"DevExpress.XtraRichEdit.RichEditView.OnAfterCreateDetailRow",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.OnBeforeCreateDetailRow",7,0,0.06,0.00,
"DevExpress.XtraRichEdit.RichEditView.OnBeginDocumentUpdate",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.OnEndDocumentUpdate",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.OnResize",17,0,0.16,0.00,
"DevExpress.XtraRichEdit.RichEditView.PerformResize",18,0,0.17,0.00,
"DevExpress.XtraRichEdit.RichEditView.ResetPages",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.ResumeFormatting",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditView.SetOptimalHorizontalScrollbarPosition",5,0,0.05,0.00,
"DevExpress.XtraRichEdit.RichEditView.SetOptimalHorizontalScrollbarPositionCore",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditView.SuspendFormatting",8,0,0.07,0.00,
"DevExpress.XtraRichEdit.RichEditView.UpdateHorizontalScrollbar",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditViewRepository..ctor",62,0,0.57,0.00,
"DevExpress.XtraRichEdit.RichEditViewRepository.CreateViews",61,0,0.57,0.00,
"DevExpress.XtraRichEdit.RichEditViewRepository.Dispose",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditViewRepository.Dispose",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.RichEditViewRepository.DisposeViews",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.RichEditViewRepository.RegisterView",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.ColumnResizerHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.FirstLineIndentHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.FirstLineIndentHotZone.CalculateBounds",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl..ctor",56,0,0.52,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CalculateHotZoneSize",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CreateHorizontalRulerPainter",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CreateOrientation",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CreatePainter",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CreatePainterCore",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CreateViewInfo",23,0,0.21,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.CreateViewInfoCore",19,0,0.18,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.get_IsVisible",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.GetColumnIndex",11,0,0.10,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerControl.RecreatePainter",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerHotZone.CalculateSize",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerPainter..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerPainter.DrawTickmarkImage",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerPainter.GenerateHalfTickImage",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerPainter.GenerateTickImageCore",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerPainter.Initialize",6,0,0.06,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerSkinPainter..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerSkinPainter.CalculateReportsSkinElementMinSize",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerSkinPainter.CalculateTotalRulerSize",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo..ctor",6,0,0.06,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.AddActiveArea",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.AddFirstLineHotZone",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.AddLeftIndentHotZone",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.AddRightColumnResizer",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.AddRightIndentHotZone",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateActiveAreaCollection",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateBounds",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateClientBounds",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateIndentElementsBounds",8,0,0.07,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateSectionSeparator",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateTabsBounds",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateTabsBoundsCore",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.CalculateTabTypeToggle",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.GetRightIndentLayoutPosition",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.GetRulerSize",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.Initialize",25,0,0.23,0.00,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerViewInfo.SortingHotZones",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.IndentHotZone.SetNewValue",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.LeftBottomHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.LeftTabHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RightColumnResizerHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RightIndentHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase..ctor",5,0,0.05,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase.CalculateParagraphIndex",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase.DevExpress.XtraRichEdit.IRulerControl.get_IsVisible",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase.GetSection",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase.GetTableCellViewInfo",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase.InitializeMouseHandler",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerControlBase.OnLookAndFeelChanged",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerElementPainter.GenerateImage",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerElementPainter.Initialize",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerElementSkinPainter.GetRichEditSkinElementImage",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerElementSkinPainter.PopulateEnabledElementImages",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerMouseHandler.SwitchToDefaultState",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerPainterBase..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase..ctor",6,0,0.06,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.AddQuarterTick",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.AddQuarterTicks",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.AddTicks",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.CalculateBounds",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.CalculateRulerSeparators",7,0,0.06,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.Initialize",12,0,0.11,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.MeasureString",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.ResampleDownRulerTickmarks",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.RulerViewInfoBase.ResampleDownTicks",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.SectionProperties..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.TabHotZone..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.TabTypeToggleHotZone..ctor",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.Ruler.TabTypeToggleHotZone.CreateHotZones",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerControl..ctor",9,0,0.08,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerControl.CreatePainter",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerControl.CreateViewInfo",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerViewInfo..ctor",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerViewInfo.AddTickNumber",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerViewInfo.CalculateActiveAreaCollection",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerViewInfo.CalculateSectionSeparator",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Ruler.VerticalRulerViewInfo.Initialize",6,0,0.06,0.00,
"DevExpress.XtraRichEdit.RulerOptions.set_Visibility",12,0,0.11,0.00,
"DevExpress.XtraRichEdit.ScrollbarOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.ScrollbarOptions.ResetCore",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.ScrollbarOptions.ResetVisibility",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.HoverLayoutItemsService..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.RichEditCommandFactoryService..ctor",31,0,0.29,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.RichEditCommandFactoryService.AddCommandConstructor",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.RichEditCommandFactoryService.CreateCommandConstructorTable",31,0,0.29,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.RichEditCommandFactoryService.PopulateConstructorTable",5,0,0.05,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.WinFormsRichEditCommandFactoryService..ctor",33,0,0.31,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.WinFormsRichEditCommandFactoryService.GetConstructorInfo",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Services.Implementation.WinFormsRichEditCommandFactoryService.PopulateConstructorTable",29,0,0.27,0.00,
"DevExpress.XtraRichEdit.SimpleView..ctor",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.SimpleView.CreateDocumentFormattingController",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.SpellChecker.EmptySpellCheckerManager..ctor",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.SpellChecker.MisspelledIntervalCollection..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.SpellChecker.SpellCheckerManager..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.SpellCheckerOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.SpellCheckerOptions.ResetCore",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.SpellCheckerOptions.set_IgnoreNoProof",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CalcParagraphLength",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckDocumentModelIntegrity",25,0,0.23,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckNumberingListIntegrity",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckNumberingListIntegrity",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckPieceTableIntegrityPara",8,0,0.07,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckSectionsContinuity",2,0,0.02,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckSectionsIntegrity",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckTablesIntegrity",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Utils.ImeBoxExporter..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Utils.RichEditCursors..cctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.Utils.SyncUtils.BlockedWaitOne",4,0,0.04,0.00,
"DevExpress.XtraRichEdit.Utils.TextColors..cctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.VerticalScrollbarOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraRichEdit.WinFormsRichEditViewRepository..ctor",64,0,0.59,0.00,
"DevExpress.XtraRichEdit.WinFormsRichEditViewRepository.CreateDraftView",3,0,0.03,0.00,
"DevExpress.XtraRichEdit.WinFormsRichEditViewRepository.CreatePrintLayoutView",52,0,0.48,0.00,
"DevExpress.XtraRichEdit.WinFormsRichEditViewRepository.CreateSimpleView",4,0,0.04,0.00,
"DevExpress.XtraScheduler.DateNavigator..ctor",71,0,0.66,0.00,
"DevExpress.XtraScheduler.DateNavigator.CreateController",1,0,0.01,0.00,
"DevExpress.XtraScheduler.DateNavigator.CreateInfoArgs",3,0,0.03,0.00,
"DevExpress.XtraScheduler.DateNavigator.CreatePainter",1,0,0.01,0.00,
"DevExpress.XtraScheduler.DateNavigator.EndInit",1,0,0.01,0.00,
"DevExpress.XtraScheduler.DateNavigator.get_BoldAppointmentDates",1,0,0.01,0.00,
"DevExpress.XtraScheduler.DateNavigator.get_DateTime",1,0,0.01,0.00,
"DevExpress.XtraScheduler.DateNavigator.get_FirstDayOfWeek",5,0,0.05,0.00,
"DevExpress.XtraScheduler.DateNavigator.Init",67,0,0.62,0.00,
"DevExpress.XtraScheduler.DateNavigator.LayoutChanged",45,0,0.42,0.00,
